csv_name,csv_unit,csv_barcode,status,match_score,product_id,product_code,product_name,system_barcode,has_barcode_in_system
ผงชูรส พลัส,ถุง,8850250015161,exact,1,370,PRD198,ผงชูรส พลัส,,no
แป้งมัน ตรามังกร,ถุง,8853820000123,exact,1,383,PRD211,แป้งมัน ตรามังกร,,no
แป้งข้าวโพด,ถุง,8852633090901,exact,1,707,PRD486,แป้งข้าวโพด,,no
แป้งว่าว,ถุง,8850310000724,exact,1,246,STORE_KK_021,แป้งว่าว,,no
แป้งกรอบ,ถุง,8852633330908,exact,1,382,PRD210,แป้งกรอบ,,no
ผงปรุงรส คนอร์,ถุง,8850144224754,exact,1,372,PRD200,ผงปรุงรส คนอร์,,no
ผงซุปใสฟ้าไทย,ถุง,8854334002320,exact,1,371,PRD199,ผงซุปใสฟ้าไทย,,no
ผงมะนาว แม๊กกี้,ถุง,8850144214601,exact,1,373,PRD201,ผงมะนาว แม๊กกี้,,no
เบคกิ้งโซดา,ถุง,8850358371350,similar,0.8,621,PRD400,เบกกิ้งโซดา,,no
แป้งข้าวจ้าว ใบหยก,ถุง,8850341100011,similar,0.92,569,PRD370,แป้งข้าวจ้าว,,no
แป้งข้าวจ้าว อัมรินทร์ทิพย์,ถุง,8852633005042,similar,0.92,569,PRD370,แป้งข้าวจ้าว,,no
แป้งข้าวเหนียว อัมรินทร์ทิพย์,ถุง,8852633005066,similar,0.92,570,PRD371,แป้งข้าวเหนียว,,no
เกลือป่น,ถุง,8850069010074,exact,1,379,PRD207,เกลือป่น,,no
น้ำตาลทรายขาว มิตรผล,ถุง,8850256100106,exact,1,364,PRD192,น้ำตาลทราย ขาว มิตรผล,,no
น้ำตาลทรายแดง มิตรผล,ถุง,8850256510066,exact,1,232,STORE_KK_006,น้ำตาลทรายแดง มิตรผล,,no
น้ำตาลกรวด วังขนาย,ถุง,8850456102030,similar,0.92,473,PRD274,น้ำตาลกรวด,,no
น้ำปลาจั่นเพชร,แกลอน,8850213245000,similar,0.88,706,PRD485,น้ำปลาจันเพชร,,no
น้ำปลาทิพรส,แกลอน,8850545455559,exact,1,229,STORE_KK_003,น้ำปลาทิพรส,,no
น้ำส้มสายชู,แกลอน,8850866254701,exact,1,627,PRD406,น้ำส้มสายชู,,no
ซีอิ้วขาว,แกลอน,8850206011575,exact,1,239,STORE_KK_013,ซีอิ้วขาว,,no
ซอสฝา เขียว,แกลอน,8851954101099,exact,1,341,PRD169,ซอสฝา เขียว,,no
ซีอิ้วดำ,ขวด,8850206066032,exact,1,238,STORE_KK_012,ซีอิ้วดำ,,no
