csv_name,csv_unit,csv_barcode,status
น้ำตาลคาราเมล,ถุง,8850256000505,missing
น้ำทรายแดง วังขนาย (น้ำอ้อย),ถุง,8850456100227,missing
เหล้า จีน,ขวด,6901052000052,missing
ตะเกียบ,แพ็ค,5385138123452,missing
ไม้จิ้มฟัน,แพ็ค,8850723730577,missing
สเปรย์กันยุง,แพ็ค,8992772064200,missing
แก๊สกระป๋อง,แพ็ค,8850218003834,missing
กระดาษเช็ดมือแบบม้วน,ม้วน,8888336042276,missing
scott แบบแผ่น hbt,ลัง,18888336042272,missing
กระดาษรองจาน (napkin),แพ็ค,8853089003149,missing
พารา,กระปุก,8850921009079,missing
น้ำเกลือ,ขวด,8854060615344,missing
กระดาษ A4,รีม,8851538722122,missing
ปากกาเคมี,ด้าม,885155220101-1,missing
"กรรไกร 8""",ด้าม,8852679100725,missing
เทปลบคำผิด,อัน,6922931395700,missing
ไส้แม๊กเย็บกระดาษ,กล่อง,8851552108001,missing
หลอดดูดขาวพลาสติกเล็ก,แพ็ค,8851552108001,missing
ฟองน้ำล้างแก้ว,อัน,8850304020905,missing
สก็อตไบรท์ ฝอย+ฟองน้ำ,อัน,8850304000068,missing
น้ำยาล้างห้องน้ำ,ขวด,8850175046066,missing
น้ำยาถูพื้น,แกลอน,8850563992722,missing
น้ำยาเช็ดกระจก,ขวด,8850299000678,missing
ยากันยุง แบบขด,กล่อง,8850175067870,missing
ไม้ถูพื้น,อัน,8850906160603,missing
ไม้กวาดดอกหญ้า,อัน,PT2077,missing
ถุงแก้วใส่ช้อน เอโร่2*8,แพ็ค,8858667400235,missing
ถุงซีน 20*25,แพ็ค,STO0001,missing
ถุงซีน 15*20,แพ็ค,STO0002,missing
แก้วร้านกาแฟ,แถว,8855051117489,missing
ฝาแก้ว ดื่ม,แถว,8859350501895,missing
ฝาแก้ว โดม,แถว,8859350501802-1,missing
ฝาแก้ว ร้อน,แถว,8859356501851,missing
ปีโป้,ถุง,8850425000060,missing
คอนเฟล็ก,ถุง,9555805800399,missing
ผงโกโก้,ถุง,8850939200024,missing
กาแฟ คั่วกลาง,ถุง,8857109096197,missing
กาแฟ คั่วเข้ม,ถุง,8857109096333,missing
Creamy,ถุง,8854729550238,missing
ลองบีชผงมันม่วง,ถุง,8859479400727,missing
อัลมอนด์สไลซ์ 1 กก.,ถุง,8852516072321,missing
Strawberry topping,ขวด,8853375000166,missing
Chocolate topping,ขวด,8853375000159,missing
ชาแดง ตรามือ,ถุง,8850370721119,missing
ชาทองตรามือ,ถุง,8850370841114,missing
ชาเขียวตรามือ,ถุง,8850370071115,missing
ชาเขียวมัจฉะ,ถุง,8850370420753,missing
ไซรัป สตอว์เบอร์รี่,ขวด,,missing
ไซรัป พีช,ขวด,8850256526401,missing
ไซรัป ลิ้นจี่,ขวด,8850256526111,missing
ไซรัป แอปเปิ้ล โมนิน,ขวด,3052910015107,missing
Sunquick ผลไม้รวม,ขวด,8850332501101,missing
Sunquick ส้ม,ขวด,8850332501070,missing
Malee ส้มสายน้ำผึ้ง,กล่อง,8853333013580,missing
Chang Cobu Beer,ลัง,8851993716056,missing
กลิ่นวนิลา,ขวด,03-138,missing
พลาสเตอร์ยา แปะแผล ไทเกอร์,กล่อง,8850672230128,missing
ก้อนน้ำหอม Ambi pur,แพ็ค,4902430694124,missing
ร่มแต่งจาน,กล่อง,8850723716731,missing
อาท ยาฉีดมด,แพ็ค,8850273107034,missing
